name,id
2024 Combined,aca294de-e11a-4857-908f-bf19edaee302
2023 Essential,1e519ea9-0455-4dc2-a5be-cdab5c0cc8df
Temp Budget,6a069baa-5362-411e-ab73-3b22cf0a41ac
My Budget (Archived on 2018-08-07),73c36586-acd8-4323-bed1-6a1128f449bf
Temp Budget (Archived on 2018-08-06),b8543db1-b894-4a9c-8aec-92d0573ad5d0
2019 New Job,986b64c6-1316-4d69-a19f-0108645330dc
2018 Budget - Active,b9db4254-41b6-4954-931e-857982e08d32
New Budget - Aug 2018,f99f498e-38d4-43bd-abc0-f3aed2a097b0
2024 Try new connections,7a1b675b-e868-487d-90ee-5317024875f9
Primary 2022 Budget,17336c24-237e-4893-90c0-8c2650bbb8cb
2023 Lifestyle,8db1a145-3754-4143-b838-8dcbb45a8a2e
